week_start,sales,series_id,week_end,promo_type
2023-01-02,95.39151150219055,Product_001,2023-01-08,Normal
2023-01-09,106.56549577815431,Product_001,2023-01-15,Normal
2023-01-16,102.80281574116754,Product_001,2023-01-22,Normal
2023-01-23,106.74574457145869,Product_001,2023-01-29,Normal
2023-01-30,113.01224527878406,Product_001,2023-02-05,Normal
2023-02-06,116.74436921846528,Product_001,2023-02-12,Normal
2023-02-13,105.13248906791522,Product_001,2023-02-19,Normal
2023-02-20,120.8129679605314,Product_001,2023-02-26,Normal
2023-02-27,130.62287861841182,Product_001,2023-03-05,Normal
2023-03-06,123.28417155188994,Product_001,2023-03-12,Normal
2023-03-13,123.55987886396808,Product_001,2023-03-19,Normal
2023-03-20,120.90787170601466,Product_001,2023-03-26,Normal
2023-03-27,123.01213411520506,Product_001,2023-04-02,Normal
2023-04-03,128.64197285233607,Product_001,2023-04-09,Normal
2023-04-10,133.19564475226878,Product_001,2023-04-16,Normal
2023-04-17,131.46123829548253,Product_001,2023-04-23,Normal
2023-04-24,127.573940939916,Product_001,2023-04-30,Normal
2023-05-01,131.52475024936663,Product_001,2023-05-07,Normal
2023-05-08,131.22731574786266,Product_001,2023-05-14,Normal
2023-05-15,129.48081833244035,Product_001,2023-05-21,BOGO
2023-05-22,248.9045872870317,Product_001,2023-05-28,BOGO
2023-05-29,123.13907412512118,Product_001,2023-06-04,Memorial Day
2023-06-05,117.32548965092757,Product_001,2023-06-11,Normal
2023-06-12,121.88589907023112,Product_001,2023-06-18,Normal
2023-06-19,117.33501262659406,Product_001,2023-06-25,Normal
2023-06-26,109.95291423567733,Product_001,2023-07-02,Normal
2023-07-03,105.79697398446628,Product_001,2023-07-09,Normal
2023-07-10,109.4336892192562,Product_001,2023-07-16,Normal
2023-07-17,109.4629310648184,Product_001,2023-07-23,Normal
2023-07-24,95.9419298004428,Product_001,2023-07-30,Normal
2023-07-31,4.926331602989078,Product_001,2023-08-06,Normal
2023-08-07,97.24905105587337,Product_001,2023-08-13,Normal
2023-08-14,97.5986650867708,Product_001,2023-08-20,Normal
2023-08-21,87.96037403252143,Product_001,2023-08-27,Normal
2023-08-28,96.85377967889356,Product_001,2023-09-03,Normal
2023-09-04,97.20199244421856,Product_001,2023-09-10,Normal
2023-09-11,92.00434962129656,Product_001,2023-09-17,Normal
2023-09-18,89.05940014676553,Product_001,2023-09-24,Normal
2023-09-25,98.32814396288896,Product_001,2023-10-01,Normal
2023-10-02,91.89400049961476,Product_001,2023-10-08,Normal
2023-10-09,88.04931613170041,Product_001,2023-10-15,Normal
