week_start, sales ,series_id,week_end,promo_type, resid , baseline ,is_outlier, upper_limit , lower_limit ,is_outlier
02/01/23, 95 ,Product_001,08/01/23,Normal, (1), 96 ,FALSE, 133 , 59 ,0
09/01/23, 107 ,Product_001,15/01/23,Normal, 5 , 102 ,FALSE, 139 , 65 ,0
16/01/23, 103 ,Product_001,22/01/23,Normal, 2 , 101 ,FALSE, 138 , 64 ,0
23/01/23, 107 ,Product_001,29/01/23,Normal, 0 , 107 ,FALSE, 144 , 70 ,0
30/01/23, 113 ,Product_001,05/02/23,Normal, 2 , 111 ,FALSE, 148 , 74 ,0
06/02/23, 117 ,Product_001,12/02/23,Normal, 4 , 113 ,FALSE, 150 , 76 ,0
13/02/23, 105 ,Product_001,19/02/23,Normal, (3), 108 ,FALSE, 145 , 71 ,0
20/02/23, 121 ,Product_001,26/02/23,Normal, 0 , 120 ,FALSE, 158 , 84 ,0
27/02/23, 131 ,Product_001,05/03/23,Normal, 4 , 127 ,FALSE, 164 , 90 ,0
06/03/23, 123 ,Product_001,12/03/23,Normal, (1), 124 ,FALSE, 161 , 87 ,0
13/03/23, 124 ,Product_001,19/03/23,Normal, (1), 124 ,FALSE, 161 , 87 ,0
20/03/23, 121 ,Product_001,26/03/23,Normal, (2), 123 ,FALSE, 160 , 86 ,0
27/03/23, 123 ,Product_001,02/04/23,Normal, (1), 124 ,FALSE, 161 , 87 ,0
03/04/23, 129 ,Product_001,09/04/23,Normal, 2 , 127 ,FALSE, 164 , 90 ,0
10/04/23, 133 ,Product_001,16/04/23,Normal, 6 , 127 ,FALSE, 164 , 90 ,0
17/04/23, 131 ,Product_001,23/04/23,Normal, 0 , 131 ,FALSE, 168 , 94 ,0
24/04/23, 128 ,Product_001,30/04/23,Normal, (1), 129 ,FALSE, 166 , 92 ,0
01/05/23, 132 ,Product_001,07/05/23,Normal, 4 , 127 ,FALSE, 164 , 90 ,0
08/05/23, 131 ,Product_001,14/05/23,Normal, 2 , 129 ,FALSE, 167 , 93 ,0
15/05/23, 129 ,Product_001,21/05/23,BOGO, 2 , 127 ,FALSE, 450 , (89),0
22/05/23, 249 ,Product_001,28/05/23,BOGO, 125 , 124 ,FALSE, 447 , (92),0
29/05/23, 123 ,Product_001,04/06/23,Memorial Day, (1), 124 ,FALSE, 148 , 99 ,0
05/06/23, 117 ,Product_001,11/06/23,Normal, (3), 120 ,FALSE, 157 , 83 ,0
12/06/23, 122 ,Product_001,18/06/23,Normal, (2), 124 ,FALSE, 161 , 87 ,0
19/06/23, 117 ,Product_001,25/06/23,Normal, (1), 118 ,FALSE, 155 , 81 ,0
26/06/23, 110 ,Product_001,02/07/23,Normal, (3), 113 ,FALSE, 150 , 76 ,0
03/07/23, 106 ,Product_001,09/07/23,Normal, (1), 107 ,FALSE, 144 , 70 ,0
10/07/23, 109 ,Product_001,16/07/23,Normal, (1), 110 ,FALSE, 147 , 73 ,0
17/07/23, 109 ,Product_001,23/07/23,Normal, 0 , 109 ,FALSE, 146 , 72 ,0
24/07/23, 96 ,Product_001,30/07/23,Normal, (7), 103 ,FALSE, 140 , 66 ,0
31/07/23, 5 ,Product_001,06/08/23,Normal, (102), 107 ,TRUE, 144 , 70 ,1
07/08/23, 97 ,Product_001,13/08/23,Normal, (3), 100 ,FALSE, 137 , 63 ,0
14/08/23, 98 ,Product_001,20/08/23,Normal, (4), 102 ,FALSE, 139 , 65 ,0
21/08/23, 88 ,Product_001,27/08/23,Normal, (1), 89 ,FALSE, 126 , 52 ,0
28/08/23, 97 ,Product_001,03/09/23,Normal, 1 , 96 ,FALSE, 133 , 59 ,0
04/09/23, 97 ,Product_001,10/09/23,Normal, (2), 99 ,FALSE, 137 , 63 ,0
11/09/23, 92 ,Product_001,17/09/23,Normal, (3), 95 ,FALSE, 132 , 58 ,0
18/09/23, 89 ,Product_001,24/09/23,Normal, (6), 95 ,FALSE, 132 , 58 ,0
25/09/23, 98 ,Product_001,01/10/23,Normal, 2 , 97 ,FALSE, 134 , 60 ,0
02/10/23, 92 ,Product_001,08/10/23,Normal, (5), 97 ,FALSE, 134 , 60 ,0
09/10/23, 88 ,Product_001,15/10/23,Normal, (9), 97 ,FALSE, 134 , 61 ,0
16/10/23, 95 ,Product_001,22/10/23,Normal, (4), 99 ,FALSE, 136 , 62 ,0
23/10/23, 101 ,Product_001,29/10/23,Normal, (4), 105 ,FALSE, 142 , 68 ,0
