series_id,stiffness_ratio,verdict,sales_std,baseline_std
Product_037,1.029,Wavy (Warning: Baseline is chasing spikes),87.64,90.21
Product_014,1.027,Wavy (Warning: Baseline is chasing spikes),79.13,81.28
Product_038,1.013,Wavy (Warning: Baseline is chasing spikes),76.42,77.37
Product_033,1.013,Wavy (Warning: Baseline is chasing spikes),67.84,68.7
Product_115,1.013,Wavy (Warning: Baseline is chasing spikes),50.73,51.41
Product_113,1.007,Wavy (Warning: Baseline is chasing spikes),98.69,99.33
Product_140,1.007,Wavy (Warning: Baseline is chasing spikes),64.89,65.37
Product_056,1.005,Wavy (Warning: Baseline is chasing spikes),76.45,76.83
Product_069,1.004,Wavy (Warning: Baseline is chasing spikes),51.83,52.05
Product_054,1.004,Wavy (Warning: Baseline is chasing spikes),54.26,54.48
Product_077,1.004,Wavy (Warning: Baseline is chasing spikes),91.88,92.21
Product_134,1.003,Wavy (Warning: Baseline is chasing spikes),57.4,57.55
Product_076,1.003,Wavy (Warning: Baseline is chasing spikes),53.79,53.94
Product_101,1.003,Wavy (Warning: Baseline is chasing spikes),85.66,85.89
Product_009,1.003,Wavy (Warning: Baseline is chasing spikes),73.01,73.22
Product_107,1.002,Wavy (Warning: Baseline is chasing spikes),66.58,66.71
Product_083,1.002,Wavy (Warning: Baseline is chasing spikes),50.18,50.26
Product_040,1.002,Wavy (Warning: Baseline is chasing spikes),96.45,96.62
Product_047,1.002,Wavy (Warning: Baseline is chasing spikes),57.54,57.64
Product_072,1.001,Wavy (Warning: Baseline is chasing spikes),65.55,65.61
Product_112,1.001,Wavy (Warning: Baseline is chasing spikes),53.91,53.96
Product_048,1.001,Wavy (Warning: Baseline is chasing spikes),69.71,69.75
Product_025,1.001,Wavy (Warning: Baseline is chasing spikes),67.01,67.05
Product_108,1.001,Wavy (Warning: Baseline is chasing spikes),74.65,74.69
Product_085,1.001,Wavy (Warning: Baseline is chasing spikes),110.0,110.15
Product_090,1.001,Wavy (Warning: Baseline is chasing spikes),102.42,102.53
Product_003,1.001,Wavy (Warning: Baseline is chasing spikes),108.89,109.01
Product_087,1.0,Wavy (Warning: Baseline is chasing spikes),95.39,95.39
Product_070,1.0,Wavy (Warning: Baseline is chasing spikes),62.88,62.91
Product_071,1.0,Wavy (Warning: Baseline is chasing spikes),93.88,93.88
Product_078,1.0,Wavy (Warning: Baseline is chasing spikes),50.68,50.66
Product_091,1.0,Wavy (Warning: Baseline is chasing spikes),108.28,108.26
Product_097,1.0,Wavy (Warning: Baseline is chasing spikes),95.19,95.16
Product_100,1.0,Wavy (Warning: Baseline is chasing spikes),83.62,83.62
Product_062,1.0,Wavy (Warning: Baseline is chasing spikes),68.3,68.33
Product_109,1.0,Wavy (Warning: Baseline is chasing spikes),85.17,85.15
Product_110,1.0,Wavy (Warning: Baseline is chasing spikes),115.69,115.65
Product_114,1.0,Wavy (Warning: Baseline is chasing spikes),53.71,53.7
Product_116,1.0,Wavy (Warning: Baseline is chasing spikes),70.04,70.05
Product_119,1.0,Wavy (Warning: Baseline is chasing spikes),106.08,106.09
Product_125,1.0,Wavy (Warning: Baseline is chasing spikes),60.29,60.3
Product_130,1.0,Wavy (Warning: Baseline is chasing spikes),74.12,74.11
Product_139,1.0,Wavy (Warning: Baseline is chasing spikes),71.02,71.02
Product_145,1.0,Wavy (Warning: Baseline is chasing spikes),71.38,71.35
Product_063,1.0,Wavy (Warning: Baseline is chasing spikes),56.95,56.97
Product_150,1.0,Wavy (Warning: Baseline is chasing spikes),109.77,109.8
Product_049,1.0,Wavy (Warning: Baseline is chasing spikes),87.29,87.33
Product_017,1.0,Wavy (Warning: Baseline is chasing spikes),96.68,96.69
Product_058,1.0,Wavy (Warning: Baseline is chasing spikes),82.15,82.16
Product_034,1.0,Wavy (Warning: Baseline is chasing spikes),114.15,114.16
Product_039,1.0,Wavy (Warning: Baseline is chasing spikes),95.67,95.62
Product_060,1.0,Wavy (Warning: Baseline is chasing spikes),90.61,90.6
Product_028,1.0,Wavy (Warning: Baseline is chasing spikes),65.66,65.66
Product_057,1.0,Wavy (Warning: Baseline is chasing spikes),78.6,78.61
Product_055,1.0,Wavy (Warning: Baseline is chasing spikes),58.46,58.46
Product_044,1.0,Wavy (Warning: Baseline is chasing spikes),71.35,71.32
Product_024,1.0,Wavy (Warning: Baseline is chasing spikes),57.98,57.97
Product_022,1.0,Wavy (Warning: Baseline is chasing spikes),73.13,73.12
Product_020,0.999,Wavy (Warning: Baseline is chasing spikes),62.89,62.86
