forecast_score,class,vol_pct_of_total,volume_per_sku,avg_outlier_count,avg_normal_weeks,sku_count
High,Seasonal with Trend,41.09," 6,593 ",10.3,115,48
High,Regular Intermittent,21.9," 4,325 ",6.8,105.4,39
High,Seasonal without Trend,5.22," 5,746 ",11.4,84,7
Low,New SKU (< 1.25yr),12.16," 3,903 ",7.3,37.6,24
Low,Regular Intermittent,6.44," 3,819 ",15,98,13
Low,Non-Seasonal and No Trend,4.85," 5,341 ",6.4,70,7
Low,Intermittent,0.47," 3,656 ",11,76,1
Low,Seasonal without Trend,0.27," 2,053 ",34,142,1
Medium,Seasonal without Trend,3.72," 7,170 ",14.5,85.8,4
Medium,Regular Intermittent,2.36," 4,538 ",23,124.2,4
Medium,New SKU (< 1.25yr),1.51," 5,814 ",5,53,2
