dfu,class,forecast_score,last_1yr_sales_vol,history_count,count_normal_weeks,count_promo_weeks,percent_normal_weeks,outlier_count
Product_001,Seasonal without Trend,High,7634.888659802397,77,73,4,94.8,9
Product_002,Seasonal with Trend,High,7886.272854333608,149,141,8,94.6,29
Product_003,Regular Intermittent,High,5229.03302712949,134,126,8,94.0,6
Product_004,Regular Intermittent,High,4810.282719464005,137,129,8,94.2,6
Product_005,Seasonal without Trend,Low,2052.803864960095,150,142,8,94.7,34
Product_006,Regular Intermittent,Low,3372.0498422022433,79,75,4,94.9,17
Product_007,Seasonal with Trend,High,4146.08754465696,131,123,8,93.9,13
Product_008,Non-Seasonal and No Trend,Low,4342.6014103594,73,69,4,94.5,6
Product_009,Seasonal with Trend,High,9875.643391041665,116,108,8,93.1,12
Product_010,New SKU (< 1.25yr),Low,2682.160747008994,48,45,3,93.8,16
Product_011,New SKU (< 1.25yr),Low,7897.232121283472,47,44,3,93.6,5
Product_012,Non-Seasonal and No Trend,Low,6007.459762071568,81,77,4,95.1,7
Product_013,Regular Intermittent,High,5480.154713835451,128,120,8,93.8,10
Product_014,Regular Intermittent,Medium,3887.209562952095,121,113,8,93.4,10
Product_015,Regular Intermittent,Low,4446.482752233507,81,77,4,95.1,9
Product_016,New SKU (< 1.25yr),Low,4133.979113518563,49,46,3,93.9,7
Product_017,Regular Intermittent,High,4805.918493321953,109,102,7,93.6,0
Product_018,New SKU (< 1.25yr),Low,5748.877742101637,32,30,2,93.8,4
Product_019,Regular Intermittent,High,3320.913598508351,70,66,4,94.3,13
Product_020,Seasonal with Trend,High,7513.994045857868,133,125,8,94.0,20
Product_021,New SKU (< 1.25yr),Low,1812.6912981166429,35,32,3,91.4,12
Product_022,Seasonal with Trend,High,7897.193074678179,108,101,7,93.5,0
Product_023,Regular Intermittent,Low,2664.684199986195,86,79,7,91.9,8
Product_024,Seasonal with Trend,High,4330.389008471672,129,121,8,93.8,10
Product_025,Seasonal with Trend,High,5008.8347286907065,113,105,8,92.9,2
Product_026,New SKU (< 1.25yr),Low,3269.7350816098055,34,31,3,91.2,1
Product_027,Regular Intermittent,Low,3692.784177324054,153,145,8,94.8,47
Product_028,Regular Intermittent,High,3208.6215654337625,107,100,7,93.5,2
Product_029,New SKU (< 1.25yr),Low,3663.782864161342,24,23,1,95.8,5
Product_030,New SKU (< 1.25yr),Low,6253.598952860041,49,46,3,93.9,3
Product_031,Regular Intermittent,High,3956.501170071786,154,146,8,94.8,18
Product_032,Regular Intermittent,Low,2649.6718935432027,112,104,8,92.9,8
Product_033,Non-Seasonal and No Trend,Low,5835.021923035897,75,71,4,94.7,6
Product_034,Regular Intermittent,High,4862.886137580189,110,102,8,92.7,1
Product_035,Non-Seasonal and No Trend,Low,5507.249692842755,67,63,4,94.0,4
Product_036,Seasonal without Trend,Medium,7090.834852140637,96,89,7,92.7,19
Product_037,Seasonal with Trend,High,9855.340967007503,79,75,4,94.9,14
Product_038,Seasonal with Trend,High,7954.874354623548,85,79,6,92.9,4
Product_039,Regular Intermittent,High,5751.987344651108,111,103,8,92.8,0
Product_040,Regular Intermittent,Medium,5367.862776209681,129,121,8,93.8,13
Product_041,Seasonal with Trend,High,8561.45057287643,150,142,8,94.7,15
Product_042,New SKU (< 1.25yr),Low,2518.848023571666,20,19,1,95.0,7
Product_043,New SKU (< 1.25yr),Low,3207.5374263552635,32,30,2,93.8,9
Product_044,Seasonal with Trend,High,6348.937075107367,115,107,8,93.0,0
Product_045,Seasonal with Trend,High,7181.626862590088,155,147,8,94.8,19
Product_046,New SKU (< 1.25yr),Low,2403.7027487977584,21,20,1,95.2,2
